COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
40147,Washington County,Oklahoma,10.8,45.50768989,24.2,31.7,12.6653824
47139,Polk County,Tennessee,8.8,69.8781575,24.4,31.2,1.933240215
8121,Washington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13125,Glascock County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20197,Wabaunsee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21217,Taylor County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13305,Wayne County,Georgia,10.1,37.43645968,21.7,28.9,8.361276103
26119,Montmorency County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29073,Gasconade County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20061,Geary County,Kansas,11.7,70.47319714,20.9,36.7,16.14373166
28007,Attala County,Mississippi,9.9,30.3465549,25.6,32.2,15.40845106
41003,Benton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48293,Limestone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55107,Rusk County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55135,Waupaca County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40043,Dewey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19047,Crawford County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19015,Boone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37145,Person County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29109,Lawrence County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72037,Ceiba Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48431,Sterling County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47049,Fentress County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4011,Greenlee County,Arizona,8.8,45.38343013,15.3,25.1,14.04879402
21037,Campbell County,Kentucky,10.3,92.59099362,22.5,32.3,8.904412508
33003,Carroll County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36123,Yates County,New York,10.6,42.9067382,26.3,30.7,0.179223658
37105,Lee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45083,Spartanburg County,South Carolina,11.2,72.78786664,28.1,34.7,14.1213262
5063,Independence County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13261,Sumter County,Georgia,13.6,52.21060971,21.5,25.9,5.215784377
18093,Lawrence County,Indiana,9.3,70.93466857,25.1,28.8,2.928334474
