COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
20099,Labette County,37.1913,-95.2976,Kansas,10.5,62.28537048,28.1,32.9,7.093694453
5135,Sharp County,36.1612,-91.4798,Arkansas,9.2,40.552595,28.9,26.7,17.99477855
39101,Marion County,40.5872,-83.1609,Ohio,10.2,67.36891175,26.3,36.6,13.51471452
1087,Macon County,32.3859,-85.6926,Alabama,11.2,34.33712474,25.9,32.2,22.09988702
39107,Mercer County,40.5399,-84.6294,Ohio,9.2,58.59754006,22.2,31.3,2.606130293
1017,Chambers County,32.9143,-85.392,Alabama,12,56.7295046,24.3,31.2,8.102988451
26091,Lenawee County,41.8951,-84.0664,Michigan,9.6,61.54647019,22.8,34.1,10.30635606
22105,Tangipahoa Parish,30.6266,-90.4057,Louisiana,11.2,60.01222161,29.3,39.1,16.68478711
1071,Jackson County,34.7795,-85.9994,Alabama,10.5,33.53185413,31,29.9,5.370416454
18103,Miami County,40.7695,-86.045,Indiana,9,49.05563233,30.4,31.1,9.780707989
18109,Morgan County,39.4816,-86.4462,Indiana,10.9,48.54268877,23.4,35.5,6.07143053
51770,Roanoke city,37.2785,-79.958,Virginia,10.6,91.15240333,24.1,34.6,7.275857921
19145,Page County,40.7391,-95.1502,Iowa,9.7,76.2239518,19.7,37.2,3.296415718
20027,Clay County,39.3497,-97.1652,Kansas,10.6,45.79964851,24.7,29,8.35947473
27087,Mahnomen County,47.3253,-95.8091,Minnesota,8.9,42.34250878,22,29.6,16.62826625
40049,Garvin County,34.7046,-97.3093,Oklahoma,9.2,37.48912098,25.6,29.3,4.986544177
5087,Madison County,36.011,-93.7246,Arkansas,9,44.90678883,23.8,24.5,10.98623092
48423,Smith County,32.375,-95.2692,Texas,9.1,68.73170127,20.5,24.6,8.137907228
48213,Henderson County,32.2119,-95.8536,Texas,9.7,54.9266541,24.8,30.3,8.348188248
36007,Broome County,42.1602,-75.8196,New York,8.8,78.66251246,20.7,30.2,3.673752317
48473,Waller County,30.0108,-95.9876,Texas,9.7,21.35400995,28.2,30.9,11.05504225
40079,Le Flore County,34.9003,-94.7034,Oklahoma,10.5,26.09955541,29.6,33.5,9.155388873
1091,Marengo County,32.2477,-87.7895,Alabama,12.8,42.15056832,27.3,41.3,13.24722546
39111,Monroe County,39.7274,-81.0829,Ohio,9.4,65.75604426,26.1,30.6,2.561995427
1107,Pickens County,33.2808,-88.0887,Alabama,10.9,4.243897498,20.7,27,1.496682339
42051,Fayette County,39.9201,-79.6474,Pennsylvania,9,50.5285273,21.6,30.7,6.350218836
28043,Grenada County,33.7699,-89.8019,Mississippi,12.2,39.99360906,26,39.1,5.917171286
28133,Sunflower County,33.6023,-90.5886,Mississippi,15.7,17.25636672,26,41.5,24.94136966
54085,Ritchie County,39.1783,-81.063,West Virginia,8.8,29.15111494,18.1,33.5,4.747558215
54041,Lewis County,38.9959,-80.5022,West Virginia,9.3,11.35475202,27.5,39,4.354531834
54091,Taylor County,39.336,-80.0462,West Virginia,10.9,52.4119562,24.9,32.1,No Data
13193,Macon County,32.3584,-84.0425,Georgia,10.7,40.69877883,25.8,20.2,0.222283718
5115,Pope County,35.4477,-93.0345,Arkansas,11.5,48.73368527,24.7,31.5,9.37061471
